iter	RMSE
0	165134.9508
1	161594.4718
2	158260.4876
3	154824.1309
4	151695.3173
5	148565.8512
6	145738.8841
7	142772.993
8	140220.9759
9	137395.901
10	134893.8745
11	132374.7743
12	129972.1642
13	127415.4573
14	125173.6921
15	122830.5318
16	120543.2425
17	118294.6583
18	116367.4097
19	114396.167
20	112626.6753
21	110756.9398
22	109133.1023
23	107514.8526
24	105756.3765
25	104214.1153
26	102463.8233
27	100823.2551
28	99347.72343
29	97990.49992
30	96693.14942
31	95446.54362
32	94175.59533
33	93083.28205
34	91862.95234
35	90735.34909
36	89683.8843
37	88622.39963
38	87597.04957
39	86533.44336
40	85540.0099
41	84600.05605
42	83588.85759
43	82700.59967
44	81948.11915
45	81101.80875
46	80383.30288
47	79651.5254
48	78990.60264
49	78242.70595
50	77650.04254
51	76889.65839
52	76268.52785
53	75692.62788
54	75139.36461
55	74612.28049
56	74000.8778
57	73478.37592
58	72989.41163
59	72513.3116
60	71974.93115
61	71428.37007
62	70974.35305
63	70587.59601
64	70185.33918
65	69827.39646
66	69455.17603
67	69087.88555
68	68806.75888
69	68433.18091
70	68038.63671
71	67735.58763
72	67396.69115
73	67105.56594
74	66822.56341
75	66569.55455
76	66306.06965
77	66067.71889
78	65795.68227
79	65466.56455
80	65170.60148
81	64950.71055
82	64741.18863
83	64498.49246
84	64314.6369
85	64145.15029
86	64009.06523
87	63834.93277
88	63627.74927
89	63462.97971
90	63291.34228
91	63107.15789
92	62895.344
93	62693.40261
94	62510.30166
95	62358.02139
96	62223.89508
97	62111.43786
98	61951.7669
99	61786.79196
100	61612.86867
101	61446.55507
102	61313.73364
103	61194.74358
104	61056.25134
105	60942.26434
106	60849.73749
107	60739.30998
108	60629.14312
109	60527.93477
110	60399.28626
111	60294.53367
112	60201.96856
113	60122.7274
114	60011.71105
115	59911.45921
116	59794.68352
117	59708.14978
118	59603.2184
119	59536.42036
120	59482.223
121	59381.28614
122	59318.46666
123	59200.77196
124	59148.01988
125	59052.4912
126	58958.99508
127	58901.98204
128	58846.18433
129	58790.44323
130	58721.76458
131	58655.28069
132	58534.76624
133	58470.16061
134	58394.33733
135	58330.25532
136	58241.82539
137	58167.89534
138	58107.81455
139	58056.05291
140	58008.44375
141	57947.66669
142	57886.03809
143	57841.93309
144	57750.39883
145	57712.34512
146	57642.36995
147	57580.03615
148	57513.38533
149	57399.06085
150	57354.96411
151	57298.7198
