iter	Passed	Remaining
0	1	1221
1	1	957
2	2	916
3	3	871
4	4	852
5	5	834
6	5	817
7	6	802
8	7	825
9	8	814
10	9	814
11	9	813
12	10	816
13	11	830
14	12	836
15	13	833
16	14	834
17	15	826
18	15	818
19	16	810
20	17	813
21	18	805
22	18	797
23	19	799
24	20	789
25	20	784
26	21	787
27	22	790
28	23	789
29	24	784
30	25	783
31	25	783
32	26	781
33	27	787
34	28	785
35	29	783
36	30	781
37	30	777
38	31	776
39	32	773
40	32	771
41	33	771
42	34	772
43	35	770
44	36	771
45	37	771
46	38	772
47	38	773
48	39	772
49	40	771
50	41	771
51	42	771
52	43	770
53	43	768
54	44	766
55	45	764
56	46	767
57	47	767
58	48	766
59	48	766
60	49	765
61	50	766
62	51	766
63	52	766
64	53	764
65	53	763
66	54	763
67	55	763
68	56	765
69	57	764
70	58	762
71	59	761
72	59	760
73	60	760
74	61	759
75	62	758
76	63	757
77	64	756
78	64	755
79	65	753
80	66	753
81	67	752
82	67	750
83	68	748
84	69	746
85	70	745
86	70	744
87	71	742
88	72	740
89	73	739
90	73	737
91	74	736
92	75	735
93	76	733
94	76	732
95	77	734
96	78	733
97	79	732
98	80	731
99	81	729
100	81	729
101	82	727
102	83	726
103	84	724
104	84	723
105	85	723
106	86	723
107	87	724
108	88	723
109	89	723
110	90	722
111	91	723
112	92	723
113	92	722
114	93	722
115	94	721
116	95	720
117	96	721
118	97	720
119	97	716
120	98	715
121	99	715
122	100	716
123	101	716
124	102	716
125	103	716
126	104	715
127	104	714
128	105	712
129	106	711
130	107	712
131	108	711
132	109	711
133	109	709
134	110	709
135	111	708
136	112	706
137	113	706
138	113	705
139	114	704
140	115	702
141	116	702
142	117	701
143	117	700
144	118	699
145	119	698
146	120	697
147	120	696
148	121	694
149	122	694
150	123	693
151	124	692
152	124	691
153	125	690
154	126	689
155	127	688
156	128	687
157	128	686
158	129	686
159	130	685
160	131	684
161	132	682
162	132	681
163	133	680
164	134	679
165	135	678
166	136	679
167	137	679
168	138	678
169	138	677
170	139	676
171	140	675
172	141	674
173	141	673
174	142	672
175	143	671
176	144	670
177	144	669
178	145	668
179	146	667
180	147	667
181	148	666
182	148	665
183	149	664
184	150	663
185	151	662
186	152	661
187	152	660
188	153	659
189	154	658
190	155	657
191	156	656
192	156	655
193	157	654
194	158	653
